"Grid Data Background","Grid Data Background"
"Grid Data Border","Grid Data Border"
"Grid Data Row Hover","Grid Data Row Hover"
"Popup Colors","Popup Colors"
"Popup Heading Background","Popup Heading Background"
"Popup Heading Text","Popup Heading Text"
"Popup Background","Popup Background"
"Popup Close Icon","Popup Close Icon"
"Other Colors","Other Colors"
"Login Form Background","Login Form Background"
"Login Legal Text","Login Legal Text"
"Tab Error Icon","Tab Error Icon"
"Tab Changed Icon","Tab Changed Icon"
"Loader Color","Loader Color"
"Loader Background","Loader Background"
"Loader Border","Loader Border"
"Custom CSS","Custom CSS"
Wunderadmin,Wunderadmin
"Update theme settings","Update theme settings"
"Export Color Scheme","Export Color Scheme"
"Wunder Admin","Wunder Admin"
"Not able to write CSS file. Please make this folder writable: ","Not able to write CSS file. Please make this folder writable: "
"Theme update error: Not able to write CSS file.","Theme update error: Not able to write CSS file."
"Theme settings was successfully saved","Theme settings was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Color scheme imported successfully","Color scheme imported successfully"
"Incorrect import file format","Incorrect import file format"
"No file selected to import","No file selected to import"
"Css generation error: using template %s","Css generation error: using template %s"
"Css generation error: %s","Css generation error: %s"
Dashboard,Dashboard
"Last 5 Orders","Last 5 Orders"
"Last 5 Search Terms","Last 5 Search Terms"
"Top 5 Search Terms","Top 5 Search Terms"
"Log into Magento Admin Page","Log into Magento Admin Page"
"Forgot your user name or password?","Forgot your user name or password?"
"Email Address:","Email Address:"
"Email Address","Email Address"
"Retrieve Password","Retrieve Password"
"Back to Login","Back to Login"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc."
"Log in to Admin Panel","Log in to Admin Panel"
"User Name:","User Name:"
"User Name","User Name"
Password:,Password:
Password,Password
Login,Login
"Forgot your password?","Forgot your password?"
"Help Us Keep Magento Healthy - Report All Bugs","Help Us Keep Magento Healthy - Report All Bugs"
"Interface Locale: %s","Interface Locale: %s"
"Connect with the Magento Community","Connect with the Magento Community"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Magento ver. %s","Magento ver. %s"
Reset,Reset
"Reset Filter","Reset Filter"
"Save and Continue Edit","Save and Continue Edit"
Submit,Submit
Export,Export
"Export Tax Rates","Export Tax Rates"
"Import Tax Rates","Import Tax Rates"
"Send Email","Send Email"
"Flush Magento Cache","Flush Magento Cache"
"Flush Cache Storage","Flush Cache Storage"
"Credit Memo","Credit Memo"
Reorder,Reorder
Unhold,Unhold
Hold,Hold
Invoice,Invoice
Ship,Ship
Edit,Edit
Cancel,Cancel
Search,Search
"Magento Logo","Magento Logo"
"Logged in as %s","Logged in as %s"
"Log Out","Log Out"
"Try Magento Go for Free","Try Magento Go for Free"
Loading...,Loading...
"Global Record Search","Global Record Search"
Page,Page
"Previous page","Previous page"
"Next page","Next page"
"of %s pages","of %s pages"
View,View
"per page","per page"
"Total %d records found","Total %d records found"
"Export to:","Export to:"
